task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
typo,"(3, 4)",2.0,2.0,False,0.4,0.14,0.76934,0.79512,0.76934,0.6971,0.88382
typo,"(3, 4)",2.0,2.0,True,0.4,0.18,0.77619,0.80466,0.77619,0.70539,0.90041
typo,"(3, 4)",2.0,3.0,False,0.4,0.22,0.77014,0.79701,0.77014,0.6971,0.88797
typo,"(3, 4)",2.0,3.0,True,0.4,0.26,0.78804,0.8146,0.78804,0.72614,0.90456
typo,"(3, 4)",3.0,0.5,False,0.39,0.12,0.75578,0.78264,0.75578,0.6805,0.87552
typo,"(3, 4)",3.0,0.5,True,0.39,0.15,0.74736,0.78058,0.74736,0.66805,0.89212
typo,"(3, 4)",3.0,1.0,False,0.39,0.1,0.75913,0.78528,0.75913,0.6805,0.87552
typo,"(3, 4)",3.0,1.0,True,0.39,0.14,0.74721,0.7804,0.74721,0.6639,0.89212
typo,"(3, 4)",3.0,2.0,False,0.39,0.19,0.74901,0.77738,0.74901,0.66805,0.87552
typo,"(3, 4)",3.0,2.0,True,0.39,0.18,0.75236,0.78528,0.75236,0.6722,0.89627
typo,"(3, 4)",3.0,3.0,False,0.39,0.21,0.74935,0.77764,0.74935,0.66805,0.87552
typo,"(3, 4)",3.0,3.0,True,0.39,0.29,0.7521,0.78498,0.7521,0.6722,0.89627
typo,"(1, 2, 3)",0.0,0.5,False,0.29,2.96,0.8868,0.89913,0.8868,0.85477,0.94191
typo,"(1, 2, 3)",0.0,0.5,True,0.29,3.0,0.92885,0.93566,0.92885,0.90456,0.95851
typo,"(1, 2, 3)",0.0,1.0,False,0.29,3.11,0.89318,0.90485,0.89318,0.86307,0.94606
typo,"(1, 2, 3)",0.0,1.0,True,0.29,3.07,0.93817,0.94683,0.93817,0.91286,0.9751
typo,"(1, 2, 3)",0.0,2.0,False,0.29,2.79,0.89183,0.91044,0.89183,0.85477,0.97095
typo,"(1, 2, 3)",0.0,2.0,True,0.29,3.06,0.94829,0.95765,0.94829,0.92531,0.98755
typo,"(1, 2, 3)",0.0,3.0,False,0.29,3.17,0.87545,0.89578,0.87545,0.82988,0.96266
